recording_id,raw_run_id,execution_id,user_id,client_id,model,device_id,activity_id,activity,segment_index,source_samples,start_creation_time_ns,end_creation_time_ns,duration_seconds,arrival_start_ms,arrival_end_ms,arrival_median_ms,gap_before_ns,median_sample_interval_ns,estimated_sample_rate_hz,resampled_3s_windows,primary_status,exclusion_reason,split
user=a/device=nexus4_1/activity=bike/bout=01/segment=001,user=a/device=nexus4_1/activity=bike/bout=01,user=a/activity=bike/execution=01,a,user=a|device=nexus4_1,nexus4,nexus4_1,0,bike,1,740,1424698215675995642,1424698219396513133,3.720517491,1424698217675,1424698221391,1424698219528,,5035400.0,198.5939548000159,1,included,,validation
user=a/device=nexus4_1/activity=bike/bout=01/segment=002,user=a/device=nexus4_1/activity=bike/bout=01,user=a/activity=bike/execution=01,a,user=a|device=nexus4_1,nexus4,nexus4_1,0,bike,2,3066,1424698220655393748,1424698237812491516,17.157097768,1424698223012,1424698239805,1424698232090,1258880615,5035400.0,198.5939548000159,5,included,,validation
user=a/device=nexus4_1/activity=bike/bout=01/segment=003,user=a/device=nexus4_1/activity=bike/bout=01,user=a/activity=bike/execution=01,a,user=a|device=nexus4_1,nexus4,nexus4_1,0,bike,3,1363,1424698242943564514,1424698249873343673,6.929779159,1424698245006,1424698251867,1424698248438,5131072998,5035400.0,198.5939548000159,2,included,,validation
user=a/device=nexus4_1/activity=bike/bout=01/segment=004,user=a/device=nexus4_1/activity=bike/bout=01,user=a/activity=bike/execution=01,a,user=a|device=nexus4_1,nexus4,nexus4_1,0,bike,4,3666,1424698255014456955,1424698275061487495,20.04703054,1424698257005,1424698277052,1424698267529,5141113282,5035400.0,198.5939548000159,6,included,,validation
user=a/device=nexus4_1/activity=bike/bout=01/segment=005,user=a/device=nexus4_1/activity=bike/bout=01,user=a/activity=bike/execution=01,a,user=a|device=nexus4_1,nexus4,nexus4_1,0,bike,5,4415,1424698278752405463,1424698302113253158,23.360847695,1424698280001,1424698304114,1424698291202,3690917968,5035400.0,198.5939548000159,7,included,,validation
user=a/device=nexus4_1/activity=bike/bout=01/segment=006,user=a/device=nexus4_1/activity=bike/bout=01,user=a/activity=bike/execution=01,a,user=a|device=nexus4_1,nexus4,nexus4_1,0,bike,6,664,1424698306982332748,1424698310353295784,3.370963036,1424698309006,1424698312345,1424698310676,4869079590,5035400.0,198.5939548000159,1,included,,validation
user=a/device=nexus4_1/activity=bike/bout=01/segment=007,user=a/device=nexus4_1/activity=bike/bout=01,user=a/activity=bike/execution=01,a,user=a|device=nexus4_1,nexus4,nexus4_1,0,bike,7,729,1424698315006005744,1424698318672569977,3.666564233,1424698316999,1424698320663,1424698318832,4652709960,5035400.0,198.5939548000159,1,included,,validation
user=a/device=nexus4_1/activity=bike/bout=01/segment=008,user=a/device=nexus4_1/activity=bike/bout=01,user=a/activity=bike/execution=01,a,user=a|device=nexus4_1,nexus4,nexus4_1,0,bike,8,3329,1424698324015923248,1424698340773160635,16.757237387,1424698326006,1424698342767,1424698334386,5343353271,5035400.0,198.5939548000159,5,included,,validation
user=a/device=nexus4_1/activity=bike/bout=01/segment=009,user=a/device=nexus4_1/activity=bike/bout=01,user=a/activity=bike/execution=01,a,user=a|device=nexus4_1,nexus4,nexus4_1,0,bike,9,1,1424698342585904776,1424698342585904776,0.0,1424698344001,1424698344001,1424698344001,1812744141,,,0,excluded,insufficient_continuous_duration,excluded
user=a/device=nexus4_1/activity=bike/bout=01/segment=010,user=a/device=nexus4_1/activity=bike/bout=01,user=a/activity=bike/execution=01,a,user=a|device=nexus4_1,nexus4,nexus4_1,0,bike,10,668,1424698346010068594,1424698349368609962,3.358541368,1424698348005,1424698351363,1424698349685,3424163818,5035400.0,198.5939548000159,1,included,,validation
user=a/device=nexus4_1/activity=bike/bout=01/segment=011,user=a/device=nexus4_1/activity=bike/bout=01,user=a/activity=bike/execution=01,a,user=a|device=nexus4_1,nexus4,nexus4_1,0,bike,11,1442,1424698354001208839,1424698361265003053,7.263794214,1424698356001,1424698363259,1424698359630,4632598877,5035400.0,198.5939548000159,2,included,,validation
