activity_id,activity,retained_recordings,total_windows,train_recordings,validation_recordings,test_recordings,train_windows,validation_windows,test_windows,train_ratio,validation_ratio,test_ratio,max_absolute_ratio_deviation
0,Stand,91,1830,60,15,16,1204,304,322,0.6579234972677596,0.16612021857923498,0.17595628415300546,0.05792349726775958
1,Sit,91,1837,59,16,16,1197,314,326,0.6516058791507894,0.170930865541644,0.17746325530756668,0.0516058791507894
2,Talk-sit,85,1733,56,14,15,1138,291,304,0.65666474321985,0.16791690709751875,0.17541834968263129,0.056664743219850044
3,Talk-stand,88,1819,57,15,16,1184,313,322,0.6509070918086861,0.1720725673446949,0.17702034084661902,0.050907091808686133
4,Stand-sit,339,2019,198,74,67,1208,407,404,0.5983159980188212,0.20158494304110947,0.20009905894006935,0.0016840019811787954
5,Lay,87,1771,56,15,16,1162,301,308,0.6561264822134387,0.16996047430830039,0.17391304347826086,0.056126482213438744
6,Lay-stand,148,1685,82,32,34,996,329,360,0.5910979228486647,0.19525222551928784,0.21364985163204747,0.01364985163204746
7,Pick,105,1281,65,19,21,828,214,239,0.6463700234192038,0.16705698672911787,0.1865729898516784,0.04637002341920382
8,Jump,130,610,77,27,26,369,119,122,0.6049180327868853,0.19508196721311474,0.2,0.004918032786885296
9,Push-up,111,425,65,23,23,254,86,85,0.5976470588235294,0.2023529411764706,0.2,0.0023529411764705854
10,Sit-up,121,944,69,26,26,572,187,185,0.6059322033898306,0.19809322033898305,0.19597457627118645,0.0059322033898305815
11,Walk,187,786,109,40,38,472,157,157,0.6005089058524173,0.19974554707379136,0.19974554707379136,0.0005089058524173629
12,Walk-backwards,50,289,30,10,10,177,56,56,0.6124567474048442,0.19377162629757785,0.19377162629757785,0.01245674740484426
13,Walk-circle,35,238,21,7,7,148,45,45,0.6218487394957983,0.18907563025210083,0.18907563025210083,0.021848739495798353
14,Run,144,485,81,32,31,298,86,101,0.6144329896907217,0.177319587628866,0.20824742268041238,0.022680412371134023
15,Stair-up,53,777,31,11,11,470,157,150,0.6048906048906049,0.20205920205920205,0.19305019305019305,0.006949806949806958
16,Stair-down,57,754,33,12,12,459,149,146,0.6087533156498673,0.1976127320954907,0.19363395225464192,0.008753315649867366
17,Table-tennis,16,358,9,3,4,215,63,80,0.6005586592178771,0.17597765363128492,0.22346368715083798,0.024022346368715086
