recording_id,subject_id,activity_id,activity,accel_samples,accel_3s_windows,tail_samples_dropped,primary_status,exclusion_reason,split,allocation_lock,split_feasible_activity,full_sparse_evaluable_client,minimum_support_client,content_sha256
0.Stand/1001_A_1.csv,1001,0,Stand,6936,23,36,included,,train,client_train_anchor,False,False,False,a567eb14bfd9fd0658fc5a748fde5608d2e4275f0d0acbd6040d41c772fe6c5e
1.Sit/1001_B_1.csv,1001,1,Sit,5995,19,295,included,,train,,False,False,False,281178964e98d9836395f441746d7204281c97260e1211976a92dfd26719e299
2.Talk-sit/1001_C_1.csv,1001,2,Talk-sit,6300,21,0,included,,train,,False,False,False,0f683b398f0379d1b09b524c36dc7c53c25e798747f932a506da278a95c62a68
3.Talk-stand/1001_D_1.csv,1001,3,Talk-stand,6300,21,0,included,,train,,False,False,False,3d797bf52a2abed5ce25c2bec6359985f5a7e22cc25a258d6ace442051d88d26
4.Stand-sit/1001_E_1.csv,1001,4,Stand-sit,2446,8,46,included,,train,,True,False,False,056158d8664d8a478fe04309d80f115212a675b3bdacd34f164ec8b9430088bb
4.Stand-sit/1001_E_2.csv,1001,4,Stand-sit,2475,8,75,included,,validation,,True,False,False,415b0d65e22a7a538e80c8cdf02d491c1b506766d2f7da69551b87c3074c127f
4.Stand-sit/1001_E_3.csv,1001,4,Stand-sit,2521,8,121,included,,train,,True,False,False,8de7db68c7edbc5435e86748d05ceab4cc2def816c6b24604d711000b0bc1286
4.Stand-sit/1001_E_4.csv,1001,4,Stand-sit,2770,9,70,included,,test,,True,False,False,58b82da0273c4de4dd622dcbe56348f4614609655252e893ac96c1b8175fb79c
4.Stand-sit/1001_E_5.csv,1001,4,Stand-sit,2341,7,241,included,,train,,True,False,False,e56940e018020b8b8acad3faac4f8c33f8c738fe11b55eb89d4c008706e69fbf
5.Lay/1001_F_1.csv,1001,5,Lay,6600,22,0,included,,validation,,False,False,False,3e165e55313a695cff50dc24374b0c6b914ef6251632e673fe790c34ae8f8ac3
6.Lay-stand/1001_G_1.csv,1001,6,Lay-stand,4401,14,201,included,,train,,True,False,False,f6ea9040f5eaccd049478a12bdc9270934c652f04caaa06816f88ed689728d49
6.Lay-stand/1001_G_2.csv,1001,6,Lay-stand,4001,13,101,included,,validation,,True,False,False,c6433ccd538c537e0d0d97543e9732e3a33add61d94b6f101b57f95bee2875fb
8.Jump/1001_I_1.csv,1001,8,Jump,1500,5,0,included,,train,,False,False,False,e39fe426fe52112e082f26e0e40e601ba5d0ceb3e5acd92811282dd6a63b5564
0.Stand/1002_A_1.csv,1002,0,Stand,7039,23,139,included,,train,supported_train_reservation,True,True,True,8c8afad4cfc123ee19368c15bc84e23b9f912fbcdb1b3d5d04ec64399aba2fb6
0.Stand/1002_A_6.csv,1002,0,Stand,6300,21,0,included,,test,supported_test_reservation,True,True,True,cad4207c6c69a1d72a2a44d065dfa56ab5e2a4311fc739ee2e173f53ff14fddf
1.Sit/1002_B_1.csv,1002,1,Sit,6300,21,0,included,,train,supported_train_reservation,True,True,True,ab8ca5499083e5c156ee1a8519b1d862004f83339e1d4ae52ff118614105b669
1.Sit/1002_B_6.csv,1002,1,Sit,6296,20,296,included,,test,supported_test_reservation,True,True,True,ef4a5a2134d0fe59a9232f4a01a9bfe1048e2f2fe23186b28c3eab56a2a2c2e8
2.Talk-sit/1002_C_1.csv,1002,2,Talk-sit,6535,21,235,included,,test,,True,True,True,05298b3e92d3a3f5480fc70ee78c03aa0d930535fb995b2326fd215d7fc8c73d
2.Talk-sit/1002_C_6.csv,1002,2,Talk-sit,6160,20,160,included,,validation,,True,True,True,aaf8c02ffa931a4cc49fc1a88e2ebcb7fe702056478ecb9cbf4e01e31f34e6be
3.Talk-stand/1002_D_1.csv,1002,3,Talk-stand,6300,21,0,included,,test,supported_test_reservation,True,True,True,06a8944b65ec7b2d11848f9d5ae98cf0e9db0a133a5057184484841696f477d1
3.Talk-stand/1002_D_6.csv,1002,3,Talk-stand,6362,21,62,included,,train,supported_train_reservation,True,True,True,d0adcbbba2e59dcdb28a1095b3ae58b964f159f4fd4cb6eb20f059aafc2691ec
4.Stand-sit/1002_E_1.csv,1002,4,Stand-sit,1771,5,271,included,,validation,,True,True,True,1d218e4539fa2165b714f540e5e7f0a9a3a6a0aca48236b8eaf8aac0419b267d
4.Stand-sit/1002_E_10.csv,1002,4,Stand-sit,2045,6,245,included,,train,,True,True,True,2846f661e09c822487e8f44b39ce2777918b4960c6ae128d7447c9b32dfcddfa
